Title,Album,Artist,Genre,Year,Link,Date Added,Discovery Source,Notes,Known Issues
Moving Blind (Gorgon City Remix),Moving Blind,Sonny Fodera & Dom Dolla,Tech House,2020,https://www.youtube.com/watch?v=sNglztfPid8,2022-10-04,Youtube,,
Matcha Mistake,Matcha Mistake,Lane 8 & Kidnap,Melodic House,2020,https://www.youtube.com/watch?v=NlwznEbIPVw,2022-10-04,Youtube,,
In The House,In The House,Gianni Keys,Tech House,2020,https://www.youtube.com/watch?v=cGEV7AjeJyQ,2022-10-04,Youtube,,no album art
Somebody To Love (Gorgon City Remix),Somebody To Love,Ben Kim,Tech House,2022,https://www.youtube.com/watch?v=yySDXvO6g_g,2022-10-04,Beatport,,
Nobody,Nobody,Gorgon City & DRAMA,House,2020,https://www.youtube.com/watch?v=RhMA1EuCOkw,2022-10-04,Youtube,,
So Hooked On Your Lovin (Gorgon City Remix),So Hooked On Your Lovin,Selace,House,2020,https://www.youtube.com/watch?v=3FDwUg1fSew,2022-10-04,Youtube,,
Real ft. Yasmin,Real,Gorgon City,House,2013,https://www.youtube.com/watch?v=O3MFWgS1DuU,2022-10-04,Youtube,,
You've Done Enough,You've Done Enough,Gorgon City & DRAMA,House,2021,https://www.youtube.com/watch?v=6znQycO7KFM,2022-10-04,Youtube,,
You've Done Enough (John Summit Remix),You've Done Enough,Gorgon City & DRAMA,House,2021,https://www.youtube.com/watch?v=cm1glRiD5Zo,2022-10-04,Youtube,,
Riot Gear,Riot Gear,Malaa & Habstrakt,Bass House,2020,https://www.youtube.com/watch?v=6NcXZ3Ef8qM,2022-10-04,Youtube,,
All On Me ft. Zhu,Year Zero,Tchami,Future House,2020,https://www.youtube.com/watch?v=1Qp9X17lU2g,2022-10-04,Youtube,,
Buenos Aires,Year Zero,Tchami,Future House,2020,https://www.youtube.com/watch?v=fPhIYPJ2SCc,2022-10-04,Youtube,,
Godspell ft. Taiki Nulight,Revelations,Tchami,Future House,2017,https://www.youtube.com/watch?v=bkh1or88QRk,2022-10-04,Youtube,,
Faith ft. Marlena Shaw,Year Zero,Tchami,Future House,2020,https://www.youtube.com/watch?v=ELstZ3_PIqI,2022-10-04,Youtube,,
Thunder And Lightning,Thunder And Lightning,Lee Foss & Detlef & Anabel Englund,Tech House,2020,https://www.youtube.com/watch?v=lQ0hQpsxtfo,2022-10-05,Youtube,,no album art
Stronger ft. Ali Love (John Summit Remix),Stronger,Kaz James,House,2020,https://www.youtube.com/watch?v=JA_rg1tHuEE,2022-10-05,Youtube,,
Primal Call,Primal Call,Gorgon City,Funky House,2017,https://www.youtube.com/watch?v=AjZ1N8oXFa8,2022-10-05,Youtube,,
I Call That Love ft. Laura White,I Call That Love,LA Riots & Max Styler,Tech House,2021,https://www.youtube.com/watch?v=cW1QzAfs8Hw,2022-10-05,Youtube,,
Beauty Sleep,Beauty Sleep,John Summit,Tech House,2021,https://www.youtube.com/watch?v=DqzBxGOUrVQ,2022-10-05,Youtube,,
Barbee,Barbee,Green Velvet & Joeski,Tech House,2020,https://www.youtube.com/watch?v=LjR-695lqm0,2022-10-05,Youtube,,
Bodies Do The Talking ft. Sue Yenn,Bodies Do The Talking,Walker & Royce,Tech House,2019,https://www.youtube.com/watch?v=2t7Lp-wB-OA,2022-10-05,Youtube,,
Naked,Naked,Hayla,Dance,2020,https://www.youtube.com/watch?v=1avTeRgxJqM,2022-10-06,Youtube,,
Naked (Ben Pierce Remix),Naked,Hayla,Dance,2020,https://www.youtube.com/watch?v=Wuf0PlNu4Rk,2022-10-06,Youtube,,
Only The Gods ft. Anabel Englund,Only The Gods,Disciples & Lee Foss,Dance,2020,https://www.youtube.com/watch?v=wtbADasm-CY,2022-10-06,Youtube,,no album art
